,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
343719,345476,Accelerometer,,,,-0.852,-0.226,0.525,,,,,,,,,,0.0,,2016-03-12 13:27:52.943,,127
343720,345477,Accelerometer,,,,-0.941,-0.292,0.714,,,,,,,,,,0.04,,2016-03-12 13:27:52.943,,127
343721,345478,Accelerometer,,,,-0.87,-0.328,0.665,,,,,,,,,,0.08,,2016-03-12 13:27:52.944,,127
343722,345479,Accelerometer,,,,-0.804,-0.324,0.637,,,,,,,,,,0.12,,2016-03-12 13:27:52.944,,127
343723,345480,Accelerometer,,,,-0.749,-0.299,0.61,,,,,,,,,,0.16,,2016-03-12 13:27:52.944,,127
343724,345481,Accelerometer,,,,-0.764,-0.324,0.692,,,,,,,,,,0.2,,2016-03-12 13:27:52.945,,127
343725,345482,Accelerometer,,,,-0.755,-0.245,0.709,,,,,,,,,,0.24,,2016-03-12 13:27:52.945,,127
343726,345483,Accelerometer,,,,-0.719,-0.182,0.71,,,,,,,,,,0.28,,2016-03-12 13:27:52.946,,127
343727,345484,Accelerometer,,,,-0.684,-0.171,0.708,,,,,,,,,,0.32,,2016-03-12 13:27:52.946,,127
343728,345485,Accelerometer,,,,-0.705,-0.035,0.707,,,,,,,,,,0.36,,2016-03-12 13:27:52.946,,127
343729,345486,Accelerometer,,,,-0.551,0.04,0.77,,,,,,,,,,0.4,,2016-03-12 13:27:52.946,,127
343730,345487,Accelerometer,,,,-0.468,-0.033,0.815,,,,,,,,,,0.44,,2016-03-12 13:27:52.947,,127
343731,345488,Accelerometer,,,,-0.527,0.001,0.962,,,,,,,,,,0.48,,2016-03-12 13:27:52.947,,127
343732,345489,Accelerometer,,,,-0.569,0.071,1.004,,,,,,,,,,0.52,,2016-03-12 13:27:52.948,,127
343733,345490,Accelerometer,,,,-0.512,-0.027,0.924,,,,,,,,,,0.56,,2016-03-12 13:27:52.948,,127
343734,345491,Accelerometer,,,,-0.381,-0.253,0.945,,,,,,,,,,0.6,,2016-03-12 13:27:52.948,,127
343735,345492,Accelerometer,,,,-0.245,-0.327,0.847,,,,,,,,,,0.64,,2016-03-12 13:27:52.949,,127
343736,345493,Accelerometer,,,,-0.243,-0.259,0.911,,,,,,,,,,0.68,,2016-03-12 13:27:52.949,,127
343737,345494,Accelerometer,,,,-0.312,-0.301,0.977,,,,,,,,,,0.72,,2016-03-12 13:27:52.949,,127
343738,345495,Accelerometer,,,,-0.326,-0.194,0.882,,,,,,,,,,0.76,,2016-03-12 13:27:52.950,,127
343739,345496,Accelerometer,,,,-0.28,-0.217,0.948,,,,,,,,,,0.8,,2016-03-12 13:27:52.950,,127
343740,345497,Accelerometer,,,,-0.227,-0.201,0.83,,,,,,,,,,0.84,,2016-03-12 13:27:52.950,,127
343741,345498,Accelerometer,,,,-0.149,-0.16,0.904,,,,,,,,,,0.88,,2016-03-12 13:27:52.951,,127
343742,345499,Accelerometer,,,,-0.099,-0.203,0.873,,,,,,,,,,0.92,,2016-03-12 13:27:52.951,,127
343743,345500,Accelerometer,,,,-0.083,-0.272,0.672,,,,,,,,,,0.96,,2016-03-12 13:27:52.951,,127
343744,345501,Accelerometer,,,,-0.065,-0.384,0.673,,,,,,,,,,1.0,,2016-03-12 13:27:52.951,,127
343745,345502,Accelerometer,,,,0.019,-0.485,0.646,,,,,,,,,,1.04,,2016-03-12 13:27:52.952,,127
343746,345503,Accelerometer,,,,-0.001,-0.762,0.687,,,,,,,,,,1.08,,2016-03-12 13:27:52.952,,127
343747,345504,Accelerometer,,,,-0.082,-0.94,0.863,,,,,,,,,,1.12,,2016-03-12 13:27:52.952,,127
343748,345505,Accelerometer,,,,-0.404,-1.231,0.79,,,,,,,,,,1.16,,2016-03-12 13:27:52.953,,127
343749,345506,Accelerometer,,,,-0.402,-1.208,0.443,,,,,,,,,,1.2,,2016-03-12 13:27:52.953,,127
343750,345507,Accelerometer,,,,-0.098,-1.088,0.184,,,,,,,,,,1.24,,2016-03-12 13:27:52.954,,127
343751,345508,Accelerometer,,,,-0.092,-1.238,0.133,,,,,,,,,,1.28,,2016-03-12 13:27:52.954,,127
343752,345509,Accelerometer,,,,-0.092,-0.987,0.037,,,,,,,,,,1.32,,2016-03-12 13:27:52.954,,127
343753,345510,Accelerometer,,,,-0.249,-0.961,0.126,,,,,,,,,,1.36,,2016-03-12 13:27:52.955,,127
343754,345511,Accelerometer,,,,-0.247,-0.991,0.062,,,,,,,,,,1.4,,2016-03-12 13:27:52.955,,127
343755,345512,Accelerometer,,,,-0.32,-0.979,0.057,,,,,,,,,,1.44,,2016-03-12 13:27:52.955,,127
343756,345513,Accelerometer,,,,-0.25,-0.878,0.008,,,,,,,,,,1.48,,2016-03-12 13:27:52.956,,127
343757,345514,Accelerometer,,,,-0.18,-1.102,0.052,,,,,,,,,,1.52,,2016-03-12 13:27:52.956,,127
343758,345515,Accelerometer,,,,-0.192,-0.973,0.01,,,,,,,,,,1.56,,2016-03-12 13:27:52.956,,127
343759,345516,Accelerometer,,,,-0.24,-1.021,0.067,,,,,,,,,,1.6,,2016-03-12 13:27:52.957,,127
343760,345517,Accelerometer,,,,-0.203,-0.965,0.014,,,,,,,,,,1.64,,2016-03-12 13:27:52.957,,127
343761,345518,Accelerometer,,,,-0.231,-0.993,-0.006,,,,,,,,,,1.68,,2016-03-12 13:27:52.957,,127
343762,345519,Accelerometer,,,,-0.227,-1.023,-0.088,,,,,,,,,,1.72,,2016-03-12 13:27:52.958,,127
343763,345520,Accelerometer,,,,-0.137,-0.916,-0.077,,,,,,,,,,1.76,,2016-03-12 13:27:52.958,,127
343764,345521,Accelerometer,,,,-0.217,-0.969,-0.005,,,,,,,,,,1.8,,2016-03-12 13:27:52.958,,127
343765,345522,Accelerometer,,,,-0.231,-1.063,-0.052,,,,,,,,,,1.84,,2016-03-12 13:27:52.959,,127
343766,345523,Accelerometer,,,,-0.224,-1.03,0.023,,,,,,,,,,1.88,,2016-03-12 13:27:52.959,,127
343767,345524,Accelerometer,,,,-0.234,-0.962,0.072,,,,,,,,,,1.92,,2016-03-12 13:27:52.959,,127
343768,345525,Accelerometer,,,,-0.301,-0.858,0.135,,,,,,,,,,1.96,,2016-03-12 13:27:52.959,,127
343769,345526,Accelerometer,,,,-0.327,-0.918,0.116,,,,,,,,,,2.0,,2016-03-12 13:27:52.960,,127
343770,345527,Accelerometer,,,,-0.205,-0.922,0.117,,,,,,,,,,2.04,,2016-03-12 13:27:52.960,,127
343771,345528,Accelerometer,,,,-0.444,-1.052,0.3,,,,,,,,,,2.08,,2016-03-12 13:27:52.960,,127
343772,345529,Accelerometer,,,,-0.378,-1.109,-0.007,,,,,,,,,,2.12,,2016-03-12 13:27:52.961,,127
343773,345530,Accelerometer,,,,-0.38,-0.904,0.143,,,,,,,,,,2.16,,2016-03-12 13:27:52.961,,127
343774,345531,Accelerometer,,,,-0.477,-0.936,0.184,,,,,,,,,,2.2,,2016-03-12 13:27:52.961,,127
343775,345532,Accelerometer,,,,-0.466,-0.93,0.166,,,,,,,,,,2.24,,2016-03-12 13:27:52.962,,127
343776,345533,Accelerometer,,,,-0.415,-0.902,0.11,,,,,,,,,,2.28,,2016-03-12 13:27:52.962,,127
343777,345534,Accelerometer,,,,-0.485,-0.896,0.188,,,,,,,,,,2.32,,2016-03-12 13:27:52.962,,127
343778,345535,Accelerometer,,,,-0.491,-0.834,0.277,,,,,,,,,,2.36,,2016-03-12 13:27:52.962,,127
343779,345536,Accelerometer,,,,-0.452,-0.982,0.178,,,,,,,,,,2.4,,2016-03-12 13:27:52.963,,127
343780,345537,Accelerometer,,,,-0.443,-0.923,0.29,,,,,,,,,,2.44,,2016-03-12 13:27:52.963,,127
343781,345538,Accelerometer,,,,-0.477,-0.833,0.262,,,,,,,,,,2.48,,2016-03-12 13:27:52.963,,127
343782,345539,Accelerometer,,,,-0.484,-0.966,0.206,,,,,,,,,,2.52,,2016-03-12 13:27:52.963,,127
343783,345540,Accelerometer,,,,-0.451,-0.93,0.419,,,,,,,,,,2.56,,2016-03-12 13:27:52.963,,127
343784,345541,Accelerometer,,,,-0.307,-0.665,0.421,,,,,,,,,,2.6,,2016-03-12 13:27:52.964,,127
343785,345542,Accelerometer,,,,-0.504,-0.632,0.627,,,,,,,,,,2.64,,2016-03-12 13:27:52.964,,127
343786,345543,Accelerometer,,,,-0.324,-0.846,0.668,,,,,,,,,,2.68,,2016-03-12 13:27:52.964,,127
343787,345544,Accelerometer,,,,-0.088,-0.803,0.513,,,,,,,,,,2.72,,2016-03-12 13:27:52.964,,127
343788,345545,Accelerometer,,,,-0.256,-0.64,0.646,,,,,,,,,,2.76,,2016-03-12 13:27:52.965,,127
343789,345546,Accelerometer,,,,-0.36,-0.726,0.694,,,,,,,,,,2.8,,2016-03-12 13:27:52.965,,127
343790,345547,Accelerometer,,,,-0.268,-0.826,0.525,,,,,,,,,,2.84,,2016-03-12 13:27:52.965,,127
343791,345548,Accelerometer,,,,-0.222,-0.698,0.574,,,,,,,,,,2.88,,2016-03-12 13:27:52.965,,127
343792,345549,Accelerometer,,,,-0.117,-0.808,0.548,,,,,,,,,,2.92,,2016-03-12 13:27:52.966,,127
343793,345550,Accelerometer,,,,-0.217,-0.802,0.456,,,,,,,,,,2.96,,2016-03-12 13:27:52.966,,127
343794,345551,Accelerometer,,,,-0.22,-0.909,0.39,,,,,,,,,,3.0,,2016-03-12 13:27:52.966,,127
343795,345552,Accelerometer,,,,-0.205,-0.831,0.463,,,,,,,,,,3.04,,2016-03-12 13:27:52.966,,127
343796,345553,Accelerometer,,,,-0.349,-0.872,0.405,,,,,,,,,,3.08,,2016-03-12 13:27:52.967,,127
343797,345554,Accelerometer,,,,-0.462,-0.766,0.261,,,,,,,,,,3.12,,2016-03-12 13:27:52.967,,127
343798,345555,Accelerometer,,,,-0.43,-0.88,0.057,,,,,,,,,,3.16,,2016-03-12 13:27:52.967,,127
343799,345556,Accelerometer,,,,-0.429,-1.087,0.089,,,,,,,,,,3.2,,2016-03-12 13:27:52.967,,127
343800,345557,Accelerometer,,,,-0.432,-1.069,-0.007,,,,,,,,,,3.24,,2016-03-12 13:27:52.968,,127
343801,345558,Accelerometer,,,,-0.359,-1.038,-0.122,,,,,,,,,,3.28,,2016-03-12 13:27:52.968,,127
343802,345559,Accelerometer,,,,-0.352,-0.927,-0.165,,,,,,,,,,3.32,,2016-03-12 13:27:52.968,,127
343803,345560,Accelerometer,,,,-0.378,-0.897,-0.115,,,,,,,,,,3.36,,2016-03-12 13:27:52.968,,127
343804,345561,Accelerometer,,,,-0.347,-0.98,-0.039,,,,,,,,,,3.4,,2016-03-12 13:27:52.968,,127
343805,345562,Accelerometer,,,,-0.518,-1.055,0.125,,,,,,,,,,3.44,,2016-03-12 13:27:52.969,,127
343806,345563,Accelerometer,,,,-0.582,-1.086,0.067,,,,,,,,,,3.48,,2016-03-12 13:27:52.969,,127
343807,345564,Accelerometer,,,,-0.382,-0.907,0.04,,,,,,,,,,3.52,,2016-03-12 13:27:52.969,,127
343808,345565,Accelerometer,,,,-0.392,-0.955,0.139,,,,,,,,,,3.56,,2016-03-12 13:27:52.969,,127
343809,345566,Accelerometer,,,,-0.454,-0.942,0.14,,,,,,,,,,3.6,,2016-03-12 13:27:52.969,,127
343810,345567,Accelerometer,,,,-0.45,-0.95,0.115,,,,,,,,,,3.64,,2016-03-12 13:27:52.970,,127
343811,345568,Accelerometer,,,,-0.356,-0.996,0.161,,,,,,,,,,3.68,,2016-03-12 13:27:52.970,,127
343812,345569,Accelerometer,,,,-0.391,-1.016,0.175,,,,,,,,,,3.72,,2016-03-12 13:27:52.970,,127
343813,345570,Accelerometer,,,,-0.241,-1.068,0.057,,,,,,,,,,3.76,,2016-03-12 13:27:52.970,,127
343814,345571,Accelerometer,,,,-0.397,-0.769,0.179,,,,,,,,,,3.8,,2016-03-12 13:27:52.970,,127
343815,345572,Accelerometer,,,,-0.346,-0.69,0.114,,,,,,,,,,3.84,,2016-03-12 13:27:52.971,,127
343816,345573,Accelerometer,,,,-0.385,-0.918,0.146,,,,,,,,,,3.88,,2016-03-12 13:27:52.971,,127
343817,345574,Accelerometer,,,,-0.366,-0.961,0.201,,,,,,,,,,3.92,,2016-03-12 13:27:52.971,,127
343818,345575,Accelerometer,,,,-0.384,-0.854,0.26,,,,,,,,,,3.96,,2016-03-12 13:27:52.971,,127
343819,345576,Accelerometer,,,,-0.441,-0.854,0.358,,,,,,,,,,4.0,,2016-03-12 13:27:52.972,,127
343820,345577,Accelerometer,,,,-0.499,-0.841,0.289,,,,,,,,,,4.04,,2016-03-12 13:27:52.972,,127
343821,345578,Accelerometer,,,,-0.325,-0.908,0.229,,,,,,,,,,4.08,,2016-03-12 13:27:52.972,,127
343822,345579,Accelerometer,,,,-0.41,-0.939,0.126,,,,,,,,,,4.12,,2016-03-12 13:27:52.972,,127
343823,345580,Accelerometer,,,,-0.409,-0.92,0.15,,,,,,,,,,4.16,,2016-03-12 13:27:52.972,,127
343824,345581,Accelerometer,,,,-0.022,-0.678,0.23,,,,,,,,,,4.2,,2016-03-12 13:27:52.973,,127
343825,345582,Accelerometer,,,,-0.613,-1.046,0.37,,,,,,,,,,4.24,,2016-03-12 13:27:52.973,,127
343826,345583,Accelerometer,,,,-0.599,-0.911,0.071,,,,,,,,,,4.28,,2016-03-12 13:27:52.973,,127
343827,345584,Accelerometer,,,,-0.581,-0.988,0.004,,,,,,,,,,4.32,,2016-03-12 13:27:52.973,,127
343828,345585,Accelerometer,,,,-0.388,-1.019,0.13,,,,,,,,,,4.36,,2016-03-12 13:27:52.974,,127
343829,345586,Accelerometer,,,,-0.285,-0.949,0.25,,,,,,,,,,4.4,,2016-03-12 13:27:52.974,,127
343830,345587,Accelerometer,,,,-0.478,-0.949,0.182,,,,,,,,,,4.44,,2016-03-12 13:27:52.974,,127
343831,345588,Accelerometer,,,,-0.652,-0.812,0.187,,,,,,,,,,4.48,,2016-03-12 13:27:52.974,,127
343832,345589,Accelerometer,,,,-0.472,-0.71,0.125,,,,,,,,,,4.52,,2016-03-12 13:27:52.974,,127
343833,345590,Accelerometer,,,,-0.511,-1.007,0.119,,,,,,,,,,4.56,,2016-03-12 13:27:52.975,,127
343834,345591,Accelerometer,,,,-0.478,-0.941,0.274,,,,,,,,,,4.6,,2016-03-12 13:27:52.975,,127
343835,345592,Accelerometer,,,,-0.589,-0.856,0.138,,,,,,,,,,4.64,,2016-03-12 13:27:52.975,,127
343836,345593,Accelerometer,,,,-0.341,-0.684,-0.071,,,,,,,,,,4.68,,2016-03-12 13:27:52.975,,127
343837,345594,Accelerometer,,,,-0.733,-1.066,0.148,,,,,,,,,,4.72,,2016-03-12 13:27:52.975,,127
343838,345595,Accelerometer,,,,-0.398,-0.98,0.216,,,,,,,,,,4.76,,2016-03-12 13:27:52.976,,127
343839,345596,Accelerometer,,,,-0.741,-0.718,0.186,,,,,,,,,,4.8,,2016-03-12 13:27:52.976,,127
343840,345597,Accelerometer,,,,-0.216,-0.768,0.252,,,,,,,,,,4.84,,2016-03-12 13:27:52.976,,127
343841,345598,Accelerometer,,,,-0.198,-0.897,0.477,,,,,,,,,,4.88,,2016-03-12 13:27:52.976,,127
343842,345599,Accelerometer,,,,-0.458,-1.125,0.412,,,,,,,,,,4.92,,2016-03-12 13:27:52.976,,127
343843,345600,Accelerometer,,,,-0.568,-0.685,0.268,,,,,,,,,,4.96,,2016-03-12 13:27:52.977,,127
343844,345601,Accelerometer,,,,-0.323,-0.796,0.13,,,,,,,,,,5.0,,2016-03-12 13:27:52.977,,127
343845,345602,Accelerometer,,,,-0.424,-0.83,0.202,,,,,,,,,,5.04,,2016-03-12 13:27:52.977,,127
343846,345603,Accelerometer,,,,-0.424,-1.05,0.284,,,,,,,,,,5.08,,2016-03-12 13:27:52.977,,127
343847,345604,Accelerometer,,,,-0.531,-0.933,0.266,,,,,,,,,,5.12,,2016-03-12 13:27:52.977,,127
343848,345605,Accelerometer,,,,-0.412,-0.882,0.253,,,,,,,,,,5.16,,2016-03-12 13:27:52.978,,127
343849,345606,Accelerometer,,,,-0.458,-0.729,0.222,,,,,,,,,,5.2,,2016-03-12 13:27:52.978,,127
343850,345607,Accelerometer,,,,-0.369,-0.747,0.225,,,,,,,,,,5.24,,2016-03-12 13:27:52.978,,127
343851,345608,Accelerometer,,,,-0.572,-0.9,0.155,,,,,,,,,,5.28,,2016-03-12 13:27:52.978,,127
343852,345609,Accelerometer,,,,-0.672,-0.812,0.071,,,,,,,,,,5.32,,2016-03-12 13:27:52.979,,127
343853,345610,Accelerometer,,,,-0.651,-0.97,0.064,,,,,,,,,,5.36,,2016-03-12 13:27:52.979,,127
343854,345611,Accelerometer,,,,-0.521,-0.976,0.039,,,,,,,,,,5.4,,2016-03-12 13:27:52.979,,127
343855,345612,Accelerometer,,,,-0.416,-0.937,-0.067,,,,,,,,,,5.44,,2016-03-12 13:27:52.979,,127
343856,345613,Accelerometer,,,,-0.476,-0.971,-0.042,,,,,,,,,,5.48,,2016-03-12 13:27:52.980,,127
343857,345614,Accelerometer,,,,-0.465,-0.872,-0.012,,,,,,,,,,5.52,,2016-03-12 13:27:52.980,,127
343858,345615,Accelerometer,,,,-0.44,-0.952,-0.018,,,,,,,,,,5.56,,2016-03-12 13:27:52.980,,127
343859,345616,Accelerometer,,,,-0.408,-0.841,0.067,,,,,,,,,,5.6,,2016-03-12 13:27:52.980,,127
343860,345617,Accelerometer,,,,-0.397,-0.832,0.104,,,,,,,,,,5.64,,2016-03-12 13:27:52.980,,127
343861,345618,Accelerometer,,,,-0.415,-0.851,0.09,,,,,,,,,,5.68,,2016-03-12 13:27:52.981,,127
343862,345619,Accelerometer,,,,-0.399,-0.923,0.128,,,,,,,,,,5.72,,2016-03-12 13:27:52.981,,127
343863,345620,Accelerometer,,,,-0.508,-1.121,0.056,,,,,,,,,,5.76,,2016-03-12 13:27:52.981,,127
343864,345621,Accelerometer,,,,-0.395,-0.984,0.062,,,,,,,,,,5.8,,2016-03-12 13:27:52.981,,127
343865,345622,Accelerometer,,,,-0.444,-0.887,0.062,,,,,,,,,,5.84,,2016-03-12 13:27:52.982,,127
343866,345623,Accelerometer,,,,-0.504,-0.96,0.052,,,,,,,,,,5.88,,2016-03-12 13:27:52.982,,127
343867,345624,Accelerometer,,,,-0.625,-0.909,0.071,,,,,,,,,,5.92,,2016-03-12 13:27:52.982,,127
343868,345625,Accelerometer,,,,-0.597,-0.899,0.098,,,,,,,,,,5.96,,2016-03-12 13:27:52.982,,127
343869,345626,Accelerometer,,,,-0.587,-1.015,0.15,,,,,,,,,,6.0,,2016-03-12 13:27:52.983,,127
343870,345627,Accelerometer,,,,-0.477,-0.998,0.147,,,,,,,,,,6.04,,2016-03-12 13:27:52.983,,127
343871,345628,Accelerometer,,,,-0.452,-0.979,0.188,,,,,,,,,,6.08,,2016-03-12 13:27:52.983,,127
343872,345629,Accelerometer,,,,-0.452,-0.828,0.272,,,,,,,,,,6.12,,2016-03-12 13:27:52.983,,127
343873,345630,Accelerometer,,,,-0.515,-0.741,0.373,,,,,,,,,,6.16,,2016-03-12 13:27:52.983,,127
343874,345631,Accelerometer,,,,-0.624,-0.896,0.555,,,,,,,,,,6.2,,2016-03-12 13:27:52.984,,127
343875,345632,Accelerometer,,,,-0.539,-0.84,0.522,,,,,,,,,,6.24,,2016-03-12 13:27:52.984,,127
343876,345633,Accelerometer,,,,-0.265,-0.457,0.721,,,,,,,,,,6.28,,2016-03-12 13:27:52.984,,127
343877,345634,Accelerometer,,,,-0.64,-1.304,0.592,,,,,,,,,,6.32,,2016-03-12 13:27:52.984,,127
343878,345635,Accelerometer,,,,-0.56,-0.468,0.79,,,,,,,,,,6.36,,2016-03-12 13:27:52.984,,127
343879,345636,Accelerometer,,,,-0.252,-0.693,0.772,,,,,,,,,,6.4,,2016-03-12 13:27:52.985,,127
343880,345637,Accelerometer,,,,-0.146,-0.417,0.905,,,,,,,,,,6.44,,2016-03-12 13:27:52.985,,127
343881,345638,Accelerometer,,,,-0.337,-0.365,0.87,,,,,,,,,,6.48,,2016-03-12 13:27:52.985,,127
343882,345639,Accelerometer,,,,-0.292,-0.229,0.812,,,,,,,,,,6.52,,2016-03-12 13:27:52.985,,127
343883,345640,Accelerometer,,,,-0.156,-0.182,0.568,,,,,,,,,,6.56,,2016-03-12 13:27:52.985,,127
343884,345641,Accelerometer,,,,-0.191,0.218,0.549,,,,,,,,,,6.6,,2016-03-12 13:27:52.986,,127
343885,345642,Accelerometer,,,,-0.173,0.121,0.748,,,,,,,,,,6.64,,2016-03-12 13:27:52.986,,127
343886,345643,Accelerometer,,,,-0.291,0.21,0.824,,,,,,,,,,6.68,,2016-03-12 13:27:52.986,,127
343887,345644,Accelerometer,,,,-0.804,0.524,0.9,,,,,,,,,,6.72,,2016-03-12 13:27:52.986,,127
343888,345645,Accelerometer,,,,-0.617,0.373,0.86,,,,,,,,,,6.76,,2016-03-12 13:27:52.986,,127
343889,345646,Accelerometer,,,,-0.292,0.618,0.891,,,,,,,,,,6.8,,2016-03-12 13:27:52.987,,127
343890,345647,Accelerometer,,,,-0.604,0.571,0.68,,,,,,,,,,6.84,,2016-03-12 13:27:52.987,,127
343891,345648,Accelerometer,,,,-0.59,0.505,0.3,,,,,,,,,,6.88,,2016-03-12 13:27:52.987,,127
343892,345649,Accelerometer,,,,-0.396,0.983,0.373,,,,,,,,,,6.92,,2016-03-12 13:27:52.987,,127
343893,345650,Accelerometer,,,,-0.537,0.4,0.521,,,,,,,,,,6.96,,2016-03-12 13:27:52.988,,127
343894,345651,Accelerometer,,,,-0.621,0.532,0.245,,,,,,,,,,7.0,,2016-03-12 13:27:52.988,,127
343895,345652,Accelerometer,,,,-0.484,0.954,0.375,,,,,,,,,,7.04,,2016-03-12 13:27:52.988,,127
343896,345653,Accelerometer,,,,-0.671,0.989,0.265,,,,,,,,,,7.08,,2016-03-12 13:27:52.988,,127
343897,345654,Accelerometer,,,,-0.722,0.835,0.351,,,,,,,,,,7.12,,2016-03-12 13:27:52.988,,127
343898,345655,Accelerometer,,,,-0.549,0.905,0.327,,,,,,,,,,7.16,,2016-03-12 13:27:52.989,,127
343899,345656,Accelerometer,,,,-0.413,0.876,0.227,,,,,,,,,,7.2,,2016-03-12 13:27:52.989,,127
343900,345657,Accelerometer,,,,-0.561,0.692,0.215,,,,,,,,,,7.24,,2016-03-12 13:27:52.989,,127
343901,345658,Accelerometer,,,,-0.568,0.798,0.27,,,,,,,,,,7.28,,2016-03-12 13:27:52.989,,127
343902,345659,Accelerometer,,,,-0.664,0.769,0.291,,,,,,,,,,7.32,,2016-03-12 13:27:52.989,,127
343903,345660,Accelerometer,,,,-0.527,0.731,0.273,,,,,,,,,,7.36,,2016-03-12 13:27:52.990,,127
343904,345661,Accelerometer,,,,-0.661,0.841,0.37,,,,,,,,,,7.4,,2016-03-12 13:27:52.990,,127
343905,345662,Accelerometer,,,,-0.587,0.62,0.367,,,,,,,,,,7.44,,2016-03-12 13:27:52.990,,127
343906,345663,Accelerometer,,,,-0.664,0.638,0.437,,,,,,,,,,7.48,,2016-03-12 13:27:52.990,,127
343907,345664,Accelerometer,,,,-0.637,0.668,0.496,,,,,,,,,,7.52,,2016-03-12 13:27:52.991,,127
343908,345665,Accelerometer,,,,-0.667,0.447,0.524,,,,,,,,,,7.56,,2016-03-12 13:27:52.991,,127
343909,345666,Accelerometer,,,,-0.704,0.634,0.473,,,,,,,,,,7.6,,2016-03-12 13:27:52.991,,127
343910,345667,Accelerometer,,,,-0.613,0.609,0.456,,,,,,,,,,7.64,,2016-03-12 13:27:52.991,,127
343911,345668,Accelerometer,,,,-0.654,0.58,0.349,,,,,,,,,,7.68,,2016-03-12 13:27:52.992,,127
343912,345669,Accelerometer,,,,-0.702,0.459,0.423,,,,,,,,,,7.72,,2016-03-12 13:27:52.992,,127
343913,345670,Accelerometer,,,,-0.784,0.623,0.53,,,,,,,,,,7.76,,2016-03-12 13:27:52.992,,127
343914,345671,Accelerometer,,,,-1.025,0.597,0.625,,,,,,,,,,7.8,,2016-03-12 13:27:52.992,,127
343915,345672,Accelerometer,,,,-0.756,0.177,0.225,,,,,,,,,,7.84,,2016-03-12 13:27:52.993,,127
343916,345673,Accelerometer,,,,-0.628,0.677,0.252,,,,,,,,,,7.88,,2016-03-12 13:27:52.993,,127
343917,345674,Accelerometer,,,,-0.757,0.572,0.423,,,,,,,,,,7.92,,2016-03-12 13:27:52.993,,127
343918,345675,Accelerometer,,,,-0.91,0.587,0.286,,,,,,,,,,7.96,,2016-03-12 13:27:52.993,,127
343919,345676,Accelerometer,,,,-0.905,0.725,0.202,,,,,,,,,,8.0,,2016-03-12 13:27:52.993,,127
343920,345677,Accelerometer,,,,-0.773,0.582,0.299,,,,,,,,,,8.04,,2016-03-12 13:27:52.994,,127
343921,345678,Accelerometer,,,,-0.797,0.753,0.28,,,,,,,,,,8.08,,2016-03-12 13:27:52.994,,127
343922,345679,Accelerometer,,,,-0.591,0.6,0.183,,,,,,,,,,8.12,,2016-03-12 13:27:52.994,,127
343923,345680,Accelerometer,,,,-0.59,0.639,0.097,,,,,,,,,,8.16,,2016-03-12 13:27:52.994,,127
343924,345681,Accelerometer,,,,-0.645,0.623,-0.065,,,,,,,,,,8.2,,2016-03-12 13:27:52.994,,127
343925,345682,Accelerometer,,,,-0.628,0.645,0.137,,,,,,,,,,8.24,,2016-03-12 13:27:52.995,,127
343926,345683,Accelerometer,,,,-0.672,0.596,0.171,,,,,,,,,,8.28,,2016-03-12 13:27:52.995,,127
343927,345684,Accelerometer,,,,-0.68,0.802,0.102,,,,,,,,,,8.32,,2016-03-12 13:27:52.995,,127
343928,345685,Accelerometer,,,,-0.45,0.754,0.077,,,,,,,,,,8.36,,2016-03-12 13:27:52.995,,127
343929,345686,Accelerometer,,,,-0.762,0.927,-0.07,,,,,,,,,,8.4,,2016-03-12 13:27:52.996,,127
343930,345687,Accelerometer,,,,-0.905,1.064,0.081,,,,,,,,,,8.44,,2016-03-12 13:27:52.996,,127
343931,345688,Accelerometer,,,,-0.441,0.878,-0.029,,,,,,,,,,8.48,,2016-03-12 13:27:52.996,,127
343932,345689,Accelerometer,,,,-0.469,1.104,-0.149,,,,,,,,,,8.52,,2016-03-12 13:27:52.996,,127
343933,345690,Accelerometer,,,,-0.231,0.803,-0.098,,,,,,,,,,8.56,,2016-03-12 13:27:52.996,,127
343934,345691,Accelerometer,,,,-0.082,0.801,0.095,,,,,,,,,,8.6,,2016-03-12 13:27:52.997,,127
343935,345692,Accelerometer,,,,-0.79,0.951,0.156,,,,,,,,,,8.64,,2016-03-12 13:27:52.997,,127
343936,345693,Accelerometer,,,,-0.568,0.856,0.24,,,,,,,,,,8.68,,2016-03-12 13:27:52.997,,127
343937,345694,Accelerometer,,,,-0.49,0.896,0.339,,,,,,,,,,8.72,,2016-03-12 13:27:52.997,,127
343938,345695,Accelerometer,,,,-0.588,0.646,0.355,,,,,,,,,,8.76,,2016-03-12 13:27:52.997,,127
343939,345696,Accelerometer,,,,-0.422,0.974,0.206,,,,,,,,,,8.8,,2016-03-12 13:27:52.998,,127
343940,345697,Accelerometer,,,,-0.414,0.719,0.28,,,,,,,,,,8.84,,2016-03-12 13:27:52.998,,127
