,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
357129,358886,Accelerometer,,,,0.398,0.061,0.979,,,,,,,,,,0.0,,2016-03-12 13:38:51.817,,130
357130,358887,Accelerometer,,,,0.093,0.134,1.002,,,,,,,,,,0.04,,2016-03-12 13:38:51.817,,130
357131,358888,Accelerometer,,,,0.136,0.151,1.021,,,,,,,,,,0.08,,2016-03-12 13:38:51.817,,130
357132,358889,Accelerometer,,,,-0.012,0.12,1.005,,,,,,,,,,0.12,,2016-03-12 13:38:51.818,,130
357133,358890,Accelerometer,,,,0.1,0.033,0.989,,,,,,,,,,0.16,,2016-03-12 13:38:51.818,,130
357134,358891,Accelerometer,,,,0.087,0.102,0.999,,,,,,,,,,0.2,,2016-03-12 13:38:51.819,,130
357135,358892,Accelerometer,,,,0.18,0.063,1.018,,,,,,,,,,0.24,,2016-03-12 13:38:51.819,,130
357136,358893,Accelerometer,,,,0.239,0.065,0.991,,,,,,,,,,0.28,,2016-03-12 13:38:51.819,,130
357137,358894,Accelerometer,,,,0.274,0.151,0.93,,,,,,,,,,0.32,,2016-03-12 13:38:51.820,,130
357138,358895,Accelerometer,,,,0.115,0.078,1.0,,,,,,,,,,0.36,,2016-03-12 13:38:51.820,,130
357139,358896,Accelerometer,,,,-0.003,-0.148,1.017,,,,,,,,,,0.4,,2016-03-12 13:38:51.820,,130
357140,358897,Accelerometer,,,,0.012,0.18,1.095,,,,,,,,,,0.44,,2016-03-12 13:38:51.821,,130
357141,358898,Accelerometer,,,,0.242,0.157,1.005,,,,,,,,,,0.48,,2016-03-12 13:38:51.821,,130
357142,358899,Accelerometer,,,,0.251,0.119,1.008,,,,,,,,,,0.52,,2016-03-12 13:38:51.821,,130
357143,358900,Accelerometer,,,,0.082,-0.22,0.96,,,,,,,,,,0.56,,2016-03-12 13:38:51.822,,130
357144,358901,Accelerometer,,,,-0.215,-0.205,1.037,,,,,,,,,,0.6,,2016-03-12 13:38:51.822,,130
357145,358902,Accelerometer,,,,-0.375,-0.243,1.01,,,,,,,,,,0.64,,2016-03-12 13:38:51.823,,130
357146,358903,Accelerometer,,,,-0.262,-0.731,0.609,,,,,,,,,,0.68,,2016-03-12 13:38:51.823,,130
357147,358904,Accelerometer,,,,-0.422,-0.921,0.457,,,,,,,,,,0.72,,2016-03-12 13:38:51.824,,130
357148,358905,Accelerometer,,,,-0.581,-0.888,0.424,,,,,,,,,,0.76,,2016-03-12 13:38:51.828,,130
357149,358906,Accelerometer,,,,-0.524,-0.751,0.396,,,,,,,,,,0.8,,2016-03-12 13:38:51.829,,130
357150,358907,Accelerometer,,,,-0.418,-0.856,0.503,,,,,,,,,,0.84,,2016-03-12 13:38:51.829,,130
357151,358908,Accelerometer,,,,-0.424,-0.974,0.568,,,,,,,,,,0.88,,2016-03-12 13:38:51.829,,130
357152,358909,Accelerometer,,,,-0.405,-0.841,0.581,,,,,,,,,,0.92,,2016-03-12 13:38:51.830,,130
357153,358910,Accelerometer,,,,-0.411,-0.804,0.61,,,,,,,,,,0.96,,2016-03-12 13:38:51.830,,130
357154,358911,Accelerometer,,,,-0.401,-0.677,0.747,,,,,,,,,,1.0,,2016-03-12 13:38:51.830,,130
357155,358912,Accelerometer,,,,-0.294,-0.609,0.731,,,,,,,,,,1.04,,2016-03-12 13:38:51.831,,130
357156,358913,Accelerometer,,,,-0.208,-0.63,0.8,,,,,,,,,,1.08,,2016-03-12 13:38:51.831,,130
357157,358914,Accelerometer,,,,-0.206,-0.489,0.81,,,,,,,,,,1.12,,2016-03-12 13:38:51.831,,130
357158,358915,Accelerometer,,,,-0.025,-0.404,0.873,,,,,,,,,,1.16,,2016-03-12 13:38:51.832,,130
357159,358916,Accelerometer,,,,-0.092,-0.513,0.978,,,,,,,,,,1.2,,2016-03-12 13:38:51.832,,130
357160,358917,Accelerometer,,,,-0.153,-0.415,0.973,,,,,,,,,,1.24,,2016-03-12 13:38:51.832,,130
357161,358918,Accelerometer,,,,-0.194,-0.599,0.836,,,,,,,,,,1.28,,2016-03-12 13:38:51.833,,130
357162,358919,Accelerometer,,,,-0.044,-0.587,0.778,,,,,,,,,,1.32,,2016-03-12 13:38:51.833,,130
357163,358920,Accelerometer,,,,-0.02,-0.214,0.981,,,,,,,,,,1.36,,2016-03-12 13:38:51.833,,130
357164,358921,Accelerometer,,,,-0.024,-0.293,1.048,,,,,,,,,,1.4,,2016-03-12 13:38:51.834,,130
357165,358922,Accelerometer,,,,-0.004,-0.072,1.071,,,,,,,,,,1.44,,2016-03-12 13:38:51.834,,130
357166,358923,Accelerometer,,,,-0.137,-0.001,1.053,,,,,,,,,,1.48,,2016-03-12 13:38:51.834,,130
357167,358924,Accelerometer,,,,-0.117,0.141,1.081,,,,,,,,,,1.52,,2016-03-12 13:38:51.835,,130
357168,358925,Accelerometer,,,,-0.013,0.181,1.026,,,,,,,,,,1.56,,2016-03-12 13:38:51.835,,130
357169,358926,Accelerometer,,,,-0.034,-0.051,1.027,,,,,,,,,,1.6,,2016-03-12 13:38:51.835,,130
357170,358927,Accelerometer,,,,0.049,-0.084,1.042,,,,,,,,,,1.64,,2016-03-12 13:38:51.836,,130
357171,358928,Accelerometer,,,,0.089,-0.051,1.015,,,,,,,,,,1.68,,2016-03-12 13:38:51.836,,130
357172,358929,Accelerometer,,,,0.068,-0.105,1.009,,,,,,,,,,1.72,,2016-03-12 13:38:51.836,,130
357173,358930,Accelerometer,,,,-0.008,-0.024,1.025,,,,,,,,,,1.76,,2016-03-12 13:38:51.837,,130
357174,358931,Accelerometer,,,,-0.011,0.05,1.019,,,,,,,,,,1.8,,2016-03-12 13:38:51.837,,130
357175,358932,Accelerometer,,,,-0.122,0.085,1.031,,,,,,,,,,1.84,,2016-03-12 13:38:51.837,,130
357176,358933,Accelerometer,,,,-0.104,0.002,1.024,,,,,,,,,,1.88,,2016-03-12 13:38:51.838,,130
357177,358934,Accelerometer,,,,-0.108,-0.051,1.03,,,,,,,,,,1.92,,2016-03-12 13:38:51.838,,130
357178,358935,Accelerometer,,,,-0.156,-0.045,1.049,,,,,,,,,,1.96,,2016-03-12 13:38:51.838,,130
357179,358936,Accelerometer,,,,-0.023,-0.113,1.026,,,,,,,,,,2.0,,2016-03-12 13:38:51.839,,130
357180,358937,Accelerometer,,,,0.017,-0.099,0.972,,,,,,,,,,2.04,,2016-03-12 13:38:51.839,,130
357181,358938,Accelerometer,,,,0.086,-0.069,1.004,,,,,,,,,,2.08,,2016-03-12 13:38:51.840,,130
357182,358939,Accelerometer,,,,-0.039,0.006,1.116,,,,,,,,,,2.12,,2016-03-12 13:38:51.840,,130
357183,358940,Accelerometer,,,,0.065,-0.178,1.057,,,,,,,,,,2.16,,2016-03-12 13:38:51.840,,130
357184,358941,Accelerometer,,,,0.23,-0.102,0.987,,,,,,,,,,2.2,,2016-03-12 13:38:51.841,,130
357185,358942,Accelerometer,,,,0.245,-0.037,0.96,,,,,,,,,,2.24,,2016-03-12 13:38:51.841,,130
357186,358943,Accelerometer,,,,0.171,0.083,0.986,,,,,,,,,,2.28,,2016-03-12 13:38:51.841,,130
357187,358944,Accelerometer,,,,0.131,0.023,1.031,,,,,,,,,,2.32,,2016-03-12 13:38:51.842,,130
357188,358945,Accelerometer,,,,-0.0,-0.105,1.069,,,,,,,,,,2.36,,2016-03-12 13:38:51.842,,130
357189,358946,Accelerometer,,,,-0.094,-0.171,1.049,,,,,,,,,,2.4,,2016-03-12 13:38:51.842,,130
357190,358947,Accelerometer,,,,0.055,-0.05,1.031,,,,,,,,,,2.44,,2016-03-12 13:38:51.843,,130
357191,358948,Accelerometer,,,,0.107,-0.114,1.008,,,,,,,,,,2.48,,2016-03-12 13:38:51.843,,130
357192,358949,Accelerometer,,,,0.043,-0.06,1.022,,,,,,,,,,2.52,,2016-03-12 13:38:51.843,,130
357193,358950,Accelerometer,,,,0.088,-0.213,1.037,,,,,,,,,,2.56,,2016-03-12 13:38:51.844,,130
357194,358951,Accelerometer,,,,-0.061,-0.193,1.017,,,,,,,,,,2.6,,2016-03-12 13:38:51.844,,130
357195,358952,Accelerometer,,,,0.023,0.118,0.936,,,,,,,,,,2.64,,2016-03-12 13:38:51.844,,130
357196,358953,Accelerometer,,,,0.192,-0.002,0.943,,,,,,,,,,2.68,,2016-03-12 13:38:51.845,,130
357197,358954,Accelerometer,,,,0.169,0.138,0.928,,,,,,,,,,2.72,,2016-03-12 13:38:51.845,,130
357198,358955,Accelerometer,,,,-0.138,0.512,1.08,,,,,,,,,,2.76,,2016-03-12 13:38:51.845,,130
357199,358956,Accelerometer,,,,-0.004,0.441,1.188,,,,,,,,,,2.8,,2016-03-12 13:38:51.846,,130
357200,358957,Accelerometer,,,,0.259,0.037,0.937,,,,,,,,,,2.84,,2016-03-12 13:38:51.846,,130
357201,358958,Accelerometer,,,,-0.037,-0.152,1.085,,,,,,,,,,2.88,,2016-03-12 13:38:51.846,,130
357202,358959,Accelerometer,,,,-0.244,-0.085,1.083,,,,,,,,,,2.92,,2016-03-12 13:38:51.847,,130
357203,358960,Accelerometer,,,,-0.207,-0.286,1.036,,,,,,,,,,2.96,,2016-03-12 13:38:51.847,,130
357204,358961,Accelerometer,,,,-0.04,-0.553,0.889,,,,,,,,,,3.0,,2016-03-12 13:38:51.847,,130
357205,358962,Accelerometer,,,,0.101,-0.479,0.875,,,,,,,,,,3.04,,2016-03-12 13:38:51.848,,130
357206,358963,Accelerometer,,,,0.074,-0.507,0.903,,,,,,,,,,3.08,,2016-03-12 13:38:51.848,,130
357207,358964,Accelerometer,,,,0.087,-0.444,0.857,,,,,,,,,,3.12,,2016-03-12 13:38:51.848,,130
357208,358965,Accelerometer,,,,0.158,-0.515,0.774,,,,,,,,,,3.16,,2016-03-12 13:38:51.849,,130
357209,358966,Accelerometer,,,,-0.084,-0.844,0.772,,,,,,,,,,3.2,,2016-03-12 13:38:51.849,,130
357210,358967,Accelerometer,,,,-0.484,-0.872,0.813,,,,,,,,,,3.24,,2016-03-12 13:38:51.849,,130
357211,358968,Accelerometer,,,,-0.211,-0.541,0.87,,,,,,,,,,3.28,,2016-03-12 13:38:51.850,,130
357212,358969,Accelerometer,,,,-0.032,-0.312,0.945,,,,,,,,,,3.32,,2016-03-12 13:38:51.850,,130
357213,358970,Accelerometer,,,,-0.184,-0.325,0.95,,,,,,,,,,3.36,,2016-03-12 13:38:51.850,,130
357214,358971,Accelerometer,,,,-0.227,-0.38,0.897,,,,,,,,,,3.4,,2016-03-12 13:38:51.851,,130
357215,358972,Accelerometer,,,,-0.252,-0.411,0.998,,,,,,,,,,3.44,,2016-03-12 13:38:51.851,,130
357216,358973,Accelerometer,,,,-0.296,-0.439,1.042,,,,,,,,,,3.48,,2016-03-12 13:38:51.851,,130
357217,358974,Accelerometer,,,,-0.215,-0.279,1.02,,,,,,,,,,3.52,,2016-03-12 13:38:51.852,,130
357218,358975,Accelerometer,,,,-0.105,-0.089,0.979,,,,,,,,,,3.56,,2016-03-12 13:38:51.852,,130
357219,358976,Accelerometer,,,,-0.099,0.044,1.002,,,,,,,,,,3.6,,2016-03-12 13:38:51.853,,130
357220,358977,Accelerometer,,,,-0.075,0.068,1.014,,,,,,,,,,3.64,,2016-03-12 13:38:51.853,,130
357221,358978,Accelerometer,,,,-0.048,0.169,1.095,,,,,,,,,,3.68,,2016-03-12 13:38:51.853,,130
357222,358979,Accelerometer,,,,-0.079,0.081,1.042,,,,,,,,,,3.72,,2016-03-12 13:38:51.854,,130
357223,358980,Accelerometer,,,,-0.093,0.15,0.959,,,,,,,,,,3.76,,2016-03-12 13:38:51.854,,130
357224,358981,Accelerometer,,,,-0.008,0.447,0.93,,,,,,,,,,3.8,,2016-03-12 13:38:51.854,,130
357225,358982,Accelerometer,,,,0.033,0.577,0.857,,,,,,,,,,3.84,,2016-03-12 13:38:51.854,,130
357226,358983,Accelerometer,,,,-0.086,0.532,0.911,,,,,,,,,,3.88,,2016-03-12 13:38:51.855,,130
357227,358984,Accelerometer,,,,-0.208,0.513,0.865,,,,,,,,,,3.92,,2016-03-12 13:38:51.855,,130
357228,358985,Accelerometer,,,,-0.189,0.666,0.848,,,,,,,,,,3.96,,2016-03-12 13:38:51.855,,130
357229,358986,Accelerometer,,,,-0.232,0.753,0.742,,,,,,,,,,4.0,,2016-03-12 13:38:51.856,,130
357230,358987,Accelerometer,,,,-0.136,0.39,0.965,,,,,,,,,,4.04,,2016-03-12 13:38:51.856,,130
357231,358988,Accelerometer,,,,-0.04,-0.029,1.08,,,,,,,,,,4.08,,2016-03-12 13:38:51.856,,130
357232,358989,Accelerometer,,,,-0.068,-0.066,1.035,,,,,,,,,,4.12,,2016-03-12 13:38:51.857,,130
357233,358990,Accelerometer,,,,0.256,0.354,0.94,,,,,,,,,,4.16,,2016-03-12 13:38:51.857,,130
357234,358991,Accelerometer,,,,-0.027,0.049,1.232,,,,,,,,,,4.2,,2016-03-12 13:38:51.857,,130
357235,358992,Accelerometer,,,,-0.075,-0.35,0.677,,,,,,,,,,4.24,,2016-03-12 13:38:51.858,,130
357236,358993,Accelerometer,,,,0.026,-0.213,1.37,,,,,,,,,,4.28,,2016-03-12 13:38:51.858,,130
357237,358994,Accelerometer,,,,-0.359,0.347,0.988,,,,,,,,,,4.32,,2016-03-12 13:38:51.858,,130
357238,358995,Accelerometer,,,,-0.495,0.382,0.846,,,,,,,,,,4.36,,2016-03-12 13:38:51.859,,130
357239,358996,Accelerometer,,,,-0.357,0.298,0.985,,,,,,,,,,4.4,,2016-03-12 13:38:51.859,,130
357240,358997,Accelerometer,,,,-0.364,0.384,1.125,,,,,,,,,,4.44,,2016-03-12 13:38:51.859,,130
357241,358998,Accelerometer,,,,-0.173,0.4,0.999,,,,,,,,,,4.48,,2016-03-12 13:38:51.860,,130
357242,358999,Accelerometer,,,,-0.758,0.457,0.751,,,,,,,,,,4.52,,2016-03-12 13:38:51.860,,130
357243,359000,Accelerometer,,,,0.002,0.42,0.976,,,,,,,,,,4.56,,2016-03-12 13:38:51.860,,130
357244,359001,Accelerometer,,,,-0.12,0.364,0.956,,,,,,,,,,4.6,,2016-03-12 13:38:51.861,,130
357245,359002,Accelerometer,,,,-0.133,0.372,0.913,,,,,,,,,,4.64,,2016-03-12 13:38:51.861,,130
357246,359003,Accelerometer,,,,-0.181,0.306,0.957,,,,,,,,,,4.68,,2016-03-12 13:38:51.861,,130
357247,359004,Accelerometer,,,,-0.168,0.353,0.936,,,,,,,,,,4.72,,2016-03-12 13:38:51.862,,130
357248,359005,Accelerometer,,,,-0.131,0.351,0.966,,,,,,,,,,4.76,,2016-03-12 13:38:51.862,,130
357249,359006,Accelerometer,,,,-0.137,0.324,0.975,,,,,,,,,,4.8,,2016-03-12 13:38:51.862,,130
357250,359007,Accelerometer,,,,-0.171,0.322,0.95,,,,,,,,,,4.84,,2016-03-12 13:38:51.863,,130
357251,359008,Accelerometer,,,,-0.157,0.393,0.962,,,,,,,,,,4.88,,2016-03-12 13:38:51.863,,130
357252,359009,Accelerometer,,,,-0.131,0.412,0.912,,,,,,,,,,4.92,,2016-03-12 13:38:51.863,,130
357253,359010,Accelerometer,,,,-0.13,0.369,0.955,,,,,,,,,,4.96,,2016-03-12 13:38:51.864,,130
357254,359011,Accelerometer,,,,-0.137,0.315,0.948,,,,,,,,,,5.0,,2016-03-12 13:38:51.864,,130
357255,359012,Accelerometer,,,,-0.149,0.231,0.963,,,,,,,,,,5.04,,2016-03-12 13:38:51.864,,130
357256,359013,Accelerometer,,,,-0.266,0.204,1.065,,,,,,,,,,5.08,,2016-03-12 13:38:51.865,,130
357257,359014,Accelerometer,,,,-0.242,0.231,0.92,,,,,,,,,,5.12,,2016-03-12 13:38:51.865,,130
357258,359015,Accelerometer,,,,-0.217,0.022,1.025,,,,,,,,,,5.16,,2016-03-12 13:38:51.866,,130
357259,359016,Accelerometer,,,,-0.226,-0.03,1.05,,,,,,,,,,5.2,,2016-03-12 13:38:51.866,,130
357260,359017,Accelerometer,,,,-0.188,-0.132,0.961,,,,,,,,,,5.24,,2016-03-12 13:38:51.866,,130
357261,359018,Accelerometer,,,,-0.17,-0.208,1.018,,,,,,,,,,5.28,,2016-03-12 13:38:51.867,,130
357262,359019,Accelerometer,,,,-0.098,-0.305,0.952,,,,,,,,,,5.32,,2016-03-12 13:38:51.867,,130
