,id,SENSOR_TYPE,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,X_AXIS,Y_AXIS,Z_AXIS,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,Time_since_start,state,timestamp,prediction,experiment_id
341325,343082,Accelerometer,,,,-1.186,0.193,0.038,,,,,,,,,,0.0,,2016-03-12 13:24:23.321,,126
341326,343083,Accelerometer,,,,-0.821,0.317,0.189,,,,,,,,,,0.04,,2016-03-12 13:24:23.322,,126
341327,343084,Accelerometer,,,,-0.888,0.316,0.152,,,,,,,,,,0.08,,2016-03-12 13:24:23.322,,126
341328,343085,Accelerometer,,,,-0.97,0.209,0.298,,,,,,,,,,0.12,,2016-03-12 13:24:23.322,,126
341329,343086,Accelerometer,,,,-0.958,0.157,0.172,,,,,,,,,,0.16,,2016-03-12 13:24:23.323,,126
341330,343087,Accelerometer,,,,-0.98,0.264,0.202,,,,,,,,,,0.2,,2016-03-12 13:24:23.323,,126
341331,343088,Accelerometer,,,,-0.931,0.379,0.293,,,,,,,,,,0.24,,2016-03-12 13:24:23.323,,126
341332,343089,Accelerometer,,,,-0.837,0.377,0.134,,,,,,,,,,0.28,,2016-03-12 13:24:23.324,,126
341333,343090,Accelerometer,,,,-0.85,0.5,0.273,,,,,,,,,,0.32,,2016-03-12 13:24:23.324,,126
341334,343091,Accelerometer,,,,-0.934,0.279,0.232,,,,,,,,,,0.36,,2016-03-12 13:24:23.324,,126
341335,343092,Accelerometer,,,,-0.89,0.49,0.273,,,,,,,,,,0.4,,2016-03-12 13:24:23.325,,126
341336,343093,Accelerometer,,,,-0.952,0.583,0.271,,,,,,,,,,0.44,,2016-03-12 13:24:23.325,,126
341337,343094,Accelerometer,,,,-0.889,0.516,0.284,,,,,,,,,,0.48,,2016-03-12 13:24:23.325,,126
341338,343095,Accelerometer,,,,-0.808,0.437,0.38,,,,,,,,,,0.52,,2016-03-12 13:24:23.328,,126
341339,343096,Accelerometer,,,,-0.755,0.428,0.325,,,,,,,,,,0.56,,2016-03-12 13:24:23.330,,126
341340,343097,Accelerometer,,,,-0.525,0.584,0.295,,,,,,,,,,0.6,,2016-03-12 13:24:23.330,,126
341341,343098,Accelerometer,,,,-0.538,0.596,0.222,,,,,,,,,,0.64,,2016-03-12 13:24:23.331,,126
341342,343099,Accelerometer,,,,-0.709,0.749,0.235,,,,,,,,,,0.68,,2016-03-12 13:24:23.331,,126
341343,343100,Accelerometer,,,,-0.691,0.901,0.382,,,,,,,,,,0.72,,2016-03-12 13:24:23.331,,126
341344,343101,Accelerometer,,,,-0.665,0.854,0.321,,,,,,,,,,0.76,,2016-03-12 13:24:23.332,,126
341345,343102,Accelerometer,,,,-0.587,0.803,0.369,,,,,,,,,,0.8,,2016-03-12 13:24:23.332,,126
341346,343103,Accelerometer,,,,-0.539,0.687,0.441,,,,,,,,,,0.84,,2016-03-12 13:24:23.332,,126
341347,343104,Accelerometer,,,,-0.891,0.534,0.308,,,,,,,,,,0.88,,2016-03-12 13:24:23.333,,126
341348,343105,Accelerometer,,,,-0.153,0.63,0.625,,,,,,,,,,0.92,,2016-03-12 13:24:23.333,,126
341349,343106,Accelerometer,,,,-0.178,0.765,0.704,,,,,,,,,,0.96,,2016-03-12 13:24:23.334,,126
341350,343107,Accelerometer,,,,-0.589,0.511,0.594,,,,,,,,,,1.0,,2016-03-12 13:24:23.334,,126
341351,343108,Accelerometer,,,,-0.409,0.704,0.617,,,,,,,,,,1.04,,2016-03-12 13:24:23.334,,126
341352,343109,Accelerometer,,,,-0.444,0.626,0.524,,,,,,,,,,1.08,,2016-03-12 13:24:23.335,,126
341353,343110,Accelerometer,,,,-0.388,0.663,0.545,,,,,,,,,,1.12,,2016-03-12 13:24:23.335,,126
341354,343111,Accelerometer,,,,-0.337,0.685,0.392,,,,,,,,,,1.16,,2016-03-12 13:24:23.335,,126
341355,343112,Accelerometer,,,,-0.27,0.708,0.432,,,,,,,,,,1.2,,2016-03-12 13:24:23.336,,126
341356,343113,Accelerometer,,,,-0.289,0.685,0.492,,,,,,,,,,1.24,,2016-03-12 13:24:23.336,,126
341357,343114,Accelerometer,,,,-0.184,0.836,0.69,,,,,,,,,,1.28,,2016-03-12 13:24:23.336,,126
341358,343115,Accelerometer,,,,0.122,1.26,0.747,,,,,,,,,,1.32,,2016-03-12 13:24:23.336,,126
341359,343116,Accelerometer,,,,0.002,1.179,1.024,,,,,,,,,,1.36,,2016-03-12 13:24:23.337,,126
341360,343117,Accelerometer,,,,0.53,0.743,0.647,,,,,,,,,,1.4,,2016-03-12 13:24:23.337,,126
341361,343118,Accelerometer,,,,0.418,0.626,0.551,,,,,,,,,,1.44,,2016-03-12 13:24:23.337,,126
341362,343119,Accelerometer,,,,0.21,0.635,0.535,,,,,,,,,,1.48,,2016-03-12 13:24:23.338,,126
341363,343120,Accelerometer,,,,0.4,0.824,0.435,,,,,,,,,,1.52,,2016-03-12 13:24:23.338,,126
341364,343121,Accelerometer,,,,0.298,0.884,0.536,,,,,,,,,,1.56,,2016-03-12 13:24:23.338,,126
341365,343122,Accelerometer,,,,0.226,0.85,0.343,,,,,,,,,,1.6,,2016-03-12 13:24:23.339,,126
341366,343123,Accelerometer,,,,0.14,0.947,0.337,,,,,,,,,,1.64,,2016-03-12 13:24:23.340,,126
341367,343124,Accelerometer,,,,-0.004,0.962,0.338,,,,,,,,,,1.68,,2016-03-12 13:24:23.341,,126
341368,343125,Accelerometer,,,,0.008,0.923,0.343,,,,,,,,,,1.72,,2016-03-12 13:24:23.342,,126
341369,343126,Accelerometer,,,,0.025,1.136,0.468,,,,,,,,,,1.76,,2016-03-12 13:24:23.342,,126
341370,343127,Accelerometer,,,,-0.327,0.667,0.406,,,,,,,,,,1.8,,2016-03-12 13:24:23.343,,126
341371,343128,Accelerometer,,,,-0.171,0.686,0.795,,,,,,,,,,1.84,,2016-03-12 13:24:23.343,,126
341372,343129,Accelerometer,,,,-0.317,0.571,0.731,,,,,,,,,,1.88,,2016-03-12 13:24:23.343,,126
341373,343130,Accelerometer,,,,-0.046,0.686,0.644,,,,,,,,,,1.92,,2016-03-12 13:24:23.344,,126
341374,343131,Accelerometer,,,,0.111,0.57,0.799,,,,,,,,,,1.96,,2016-03-12 13:24:23.344,,126
341375,343132,Accelerometer,,,,0.018,0.438,0.912,,,,,,,,,,2.0,,2016-03-12 13:24:23.344,,126
341376,343133,Accelerometer,,,,0.069,0.508,0.927,,,,,,,,,,2.04,,2016-03-12 13:24:23.345,,126
341377,343134,Accelerometer,,,,0.014,0.389,0.937,,,,,,,,,,2.08,,2016-03-12 13:24:23.345,,126
341378,343135,Accelerometer,,,,-0.065,0.204,0.983,,,,,,,,,,2.12,,2016-03-12 13:24:23.345,,126
341379,343136,Accelerometer,,,,-0.036,0.44,0.967,,,,,,,,,,2.16,,2016-03-12 13:24:23.346,,126
341380,343137,Accelerometer,,,,0.021,0.407,0.888,,,,,,,,,,2.2,,2016-03-12 13:24:23.346,,126
341381,343138,Accelerometer,,,,-0.025,0.355,0.889,,,,,,,,,,2.24,,2016-03-12 13:24:23.346,,126
341382,343139,Accelerometer,,,,-0.046,0.333,0.921,,,,,,,,,,2.28,,2016-03-12 13:24:23.347,,126
341383,343140,Accelerometer,,,,0.147,0.86,0.993,,,,,,,,,,2.32,,2016-03-12 13:24:23.347,,126
341384,343141,Accelerometer,,,,-0.117,0.247,0.865,,,,,,,,,,2.36,,2016-03-12 13:24:23.347,,126
341385,343142,Accelerometer,,,,-0.109,0.44,0.79,,,,,,,,,,2.4,,2016-03-12 13:24:23.348,,126
341386,343143,Accelerometer,,,,-0.023,0.879,0.693,,,,,,,,,,2.44,,2016-03-12 13:24:23.348,,126
341387,343144,Accelerometer,,,,0.179,0.972,0.525,,,,,,,,,,2.48,,2016-03-12 13:24:23.348,,126
341388,343145,Accelerometer,,,,0.072,0.851,0.431,,,,,,,,,,2.52,,2016-03-12 13:24:23.349,,126
341389,343146,Accelerometer,,,,-0.074,0.816,0.438,,,,,,,,,,2.56,,2016-03-12 13:24:23.349,,126
341390,343147,Accelerometer,,,,0.061,0.723,0.592,,,,,,,,,,2.6,,2016-03-12 13:24:23.349,,126
341391,343148,Accelerometer,,,,0.136,0.827,0.597,,,,,,,,,,2.64,,2016-03-12 13:24:23.350,,126
341392,343149,Accelerometer,,,,0.176,0.743,0.677,,,,,,,,,,2.68,,2016-03-12 13:24:23.350,,126
341393,343150,Accelerometer,,,,0.204,0.762,0.647,,,,,,,,,,2.72,,2016-03-12 13:24:23.350,,126
341394,343151,Accelerometer,,,,0.191,0.828,0.666,,,,,,,,,,2.76,,2016-03-12 13:24:23.351,,126
341395,343152,Accelerometer,,,,0.104,0.642,0.729,,,,,,,,,,2.8,,2016-03-12 13:24:23.351,,126
341396,343153,Accelerometer,,,,0.108,0.614,0.763,,,,,,,,,,2.84,,2016-03-12 13:24:23.351,,126
341397,343154,Accelerometer,,,,0.125,0.656,0.841,,,,,,,,,,2.88,,2016-03-12 13:24:23.351,,126
341398,343155,Accelerometer,,,,0.15,0.53,0.82,,,,,,,,,,2.92,,2016-03-12 13:24:23.352,,126
341399,343156,Accelerometer,,,,0.131,0.484,0.8,,,,,,,,,,2.96,,2016-03-12 13:24:23.352,,126
341400,343157,Accelerometer,,,,0.05,0.484,0.848,,,,,,,,,,3.0,,2016-03-12 13:24:23.353,,126
341401,343158,Accelerometer,,,,0.047,0.467,0.956,,,,,,,,,,3.04,,2016-03-12 13:24:23.353,,126
341402,343159,Accelerometer,,,,0.04,0.406,0.936,,,,,,,,,,3.08,,2016-03-12 13:24:23.353,,126
341403,343160,Accelerometer,,,,0.022,0.486,0.9,,,,,,,,,,3.12,,2016-03-12 13:24:23.354,,126
341404,343161,Accelerometer,,,,-0.003,0.48,0.944,,,,,,,,,,3.16,,2016-03-12 13:24:23.354,,126
341405,343162,Accelerometer,,,,0.032,0.477,0.897,,,,,,,,,,3.2,,2016-03-12 13:24:23.354,,126
341406,343163,Accelerometer,,,,0.031,0.495,0.924,,,,,,,,,,3.24,,2016-03-12 13:24:23.355,,126
341407,343164,Accelerometer,,,,0.021,0.446,0.89,,,,,,,,,,3.28,,2016-03-12 13:24:23.355,,126
341408,343165,Accelerometer,,,,-0.038,0.534,0.901,,,,,,,,,,3.32,,2016-03-12 13:24:23.355,,126
341409,343166,Accelerometer,,,,0.012,0.62,0.861,,,,,,,,,,3.36,,2016-03-12 13:24:23.355,,126
341410,343167,Accelerometer,,,,-0.033,0.669,0.832,,,,,,,,,,3.4,,2016-03-12 13:24:23.356,,126
341411,343168,Accelerometer,,,,-0.023,0.64,0.746,,,,,,,,,,3.44,,2016-03-12 13:24:23.356,,126
341412,343169,Accelerometer,,,,0.048,0.663,0.673,,,,,,,,,,3.48,,2016-03-12 13:24:23.356,,126
341413,343170,Accelerometer,,,,0.073,0.742,0.643,,,,,,,,,,3.52,,2016-03-12 13:24:23.357,,126
341414,343171,Accelerometer,,,,0.056,0.758,0.544,,,,,,,,,,3.56,,2016-03-12 13:24:23.357,,126
341415,343172,Accelerometer,,,,0.168,0.808,0.574,,,,,,,,,,3.6,,2016-03-12 13:24:23.358,,126
341416,343173,Accelerometer,,,,0.18,0.834,0.508,,,,,,,,,,3.64,,2016-03-12 13:24:23.358,,126
341417,343174,Accelerometer,,,,0.15,0.817,0.478,,,,,,,,,,3.68,,2016-03-12 13:24:23.358,,126
341418,343175,Accelerometer,,,,0.163,0.899,0.509,,,,,,,,,,3.72,,2016-03-12 13:24:23.359,,126
341419,343176,Accelerometer,,,,0.145,0.882,0.529,,,,,,,,,,3.76,,2016-03-12 13:24:23.359,,126
341420,343177,Accelerometer,,,,0.12,0.773,0.562,,,,,,,,,,3.8,,2016-03-12 13:24:23.360,,126
341421,343178,Accelerometer,,,,0.037,0.778,0.652,,,,,,,,,,3.84,,2016-03-12 13:24:23.360,,126
341422,343179,Accelerometer,,,,0.04,0.836,0.628,,,,,,,,,,3.88,,2016-03-12 13:24:23.360,,126
341423,343180,Accelerometer,,,,0.078,0.744,0.617,,,,,,,,,,3.92,,2016-03-12 13:24:23.361,,126
341424,343181,Accelerometer,,,,-0.046,0.716,0.797,,,,,,,,,,3.96,,2016-03-12 13:24:23.361,,126
341425,343182,Accelerometer,,,,-0.128,0.686,0.741,,,,,,,,,,4.0,,2016-03-12 13:24:23.361,,126
341426,343183,Accelerometer,,,,-0.046,0.721,0.617,,,,,,,,,,4.04,,2016-03-12 13:24:23.362,,126
341427,343184,Accelerometer,,,,-0.068,0.779,0.682,,,,,,,,,,4.08,,2016-03-12 13:24:23.362,,126
341428,343185,Accelerometer,,,,-0.069,0.718,0.747,,,,,,,,,,4.12,,2016-03-12 13:24:23.362,,126
341429,343186,Accelerometer,,,,-0.044,0.608,0.761,,,,,,,,,,4.16,,2016-03-12 13:24:23.363,,126
341430,343187,Accelerometer,,,,-0.046,0.566,0.846,,,,,,,,,,4.2,,2016-03-12 13:24:23.363,,126
341431,343188,Accelerometer,,,,-0.036,0.575,0.868,,,,,,,,,,4.24,,2016-03-12 13:24:23.363,,126
341432,343189,Accelerometer,,,,0.054,0.587,0.708,,,,,,,,,,4.28,,2016-03-12 13:24:23.364,,126
341433,343190,Accelerometer,,,,0.041,0.696,0.76,,,,,,,,,,4.32,,2016-03-12 13:24:23.364,,126
341434,343191,Accelerometer,,,,-0.17,0.669,0.745,,,,,,,,,,4.36,,2016-03-12 13:24:23.364,,126
341435,343192,Accelerometer,,,,-0.067,0.787,0.621,,,,,,,,,,4.4,,2016-03-12 13:24:23.365,,126
341436,343193,Accelerometer,,,,-0.074,0.793,0.529,,,,,,,,,,4.44,,2016-03-12 13:24:23.365,,126
341437,343194,Accelerometer,,,,-0.048,0.834,0.585,,,,,,,,,,4.48,,2016-03-12 13:24:23.365,,126
341438,343195,Accelerometer,,,,0.0,0.86,0.572,,,,,,,,,,4.52,,2016-03-12 13:24:23.366,,126
341439,343196,Accelerometer,,,,0.11,0.783,0.659,,,,,,,,,,4.56,,2016-03-12 13:24:23.366,,126
341440,343197,Accelerometer,,,,0.123,0.769,0.732,,,,,,,,,,4.6,,2016-03-12 13:24:23.366,,126
341441,343198,Accelerometer,,,,-0.001,0.636,0.755,,,,,,,,,,4.64,,2016-03-12 13:24:23.367,,126
341442,343199,Accelerometer,,,,0.003,0.731,0.698,,,,,,,,,,4.68,,2016-03-12 13:24:23.367,,126
341443,343200,Accelerometer,,,,-0.033,0.755,0.823,,,,,,,,,,4.72,,2016-03-12 13:24:23.367,,126
341444,343201,Accelerometer,,,,-0.091,0.598,0.774,,,,,,,,,,4.76,,2016-03-12 13:24:23.368,,126
341445,343202,Accelerometer,,,,-0.084,0.624,0.688,,,,,,,,,,4.8,,2016-03-12 13:24:23.368,,126
341446,343203,Accelerometer,,,,0.0,0.718,0.663,,,,,,,,,,4.84,,2016-03-12 13:24:23.368,,126
341447,343204,Accelerometer,,,,0.021,0.849,0.587,,,,,,,,,,4.88,,2016-03-12 13:24:23.369,,126
341448,343205,Accelerometer,,,,0.021,0.823,0.6,,,,,,,,,,4.92,,2016-03-12 13:24:23.369,,126
341449,343206,Accelerometer,,,,-0.124,0.804,0.626,,,,,,,,,,4.96,,2016-03-12 13:24:23.369,,126
341450,343207,Accelerometer,,,,-0.063,0.766,0.691,,,,,,,,,,5.0,,2016-03-12 13:24:23.370,,126
341451,343208,Accelerometer,,,,-0.085,0.687,0.686,,,,,,,,,,5.04,,2016-03-12 13:24:23.370,,126
341452,343209,Accelerometer,,,,-0.111,0.673,0.706,,,,,,,,,,5.08,,2016-03-12 13:24:23.370,,126
341453,343210,Accelerometer,,,,-0.064,0.855,0.655,,,,,,,,,,5.12,,2016-03-12 13:24:23.371,,126
341454,343211,Accelerometer,,,,-0.03,0.919,0.573,,,,,,,,,,5.16,,2016-03-12 13:24:23.371,,126
341455,343212,Accelerometer,,,,-0.053,0.825,0.711,,,,,,,,,,5.2,,2016-03-12 13:24:23.371,,126
341456,343213,Accelerometer,,,,0.075,0.966,0.7,,,,,,,,,,5.24,,2016-03-12 13:24:23.372,,126
341457,343214,Accelerometer,,,,0.292,0.653,0.55,,,,,,,,,,5.28,,2016-03-12 13:24:23.372,,126
341458,343215,Accelerometer,,,,0.278,0.34,0.781,,,,,,,,,,5.32,,2016-03-12 13:24:23.372,,126
341459,343216,Accelerometer,,,,0.019,0.19,1.013,,,,,,,,,,5.36,,2016-03-12 13:24:23.373,,126
341460,343217,Accelerometer,,,,0.055,0.154,0.964,,,,,,,,,,5.4,,2016-03-12 13:24:23.373,,126
341461,343218,Accelerometer,,,,0.082,0.384,0.989,,,,,,,,,,5.44,,2016-03-12 13:24:23.373,,126
341462,343219,Accelerometer,,,,-0.028,0.298,1.027,,,,,,,,,,5.48,,2016-03-12 13:24:23.374,,126
341463,343220,Accelerometer,,,,-0.193,0.187,1.06,,,,,,,,,,5.52,,2016-03-12 13:24:23.374,,126
341464,343221,Accelerometer,,,,-0.302,0.218,0.962,,,,,,,,,,5.56,,2016-03-12 13:24:23.375,,126
341465,343222,Accelerometer,,,,-0.068,0.7,0.886,,,,,,,,,,5.6,,2016-03-12 13:24:23.375,,126
341466,343223,Accelerometer,,,,-0.073,0.537,0.862,,,,,,,,,,5.64,,2016-03-12 13:24:23.376,,126
341467,343224,Accelerometer,,,,-0.169,0.5,0.718,,,,,,,,,,5.68,,2016-03-12 13:24:23.376,,126
341468,343225,Accelerometer,,,,-0.226,0.768,0.697,,,,,,,,,,5.72,,2016-03-12 13:24:23.376,,126
341469,343226,Accelerometer,,,,-0.187,0.713,0.736,,,,,,,,,,5.76,,2016-03-12 13:24:23.377,,126
341470,343227,Accelerometer,,,,-0.144,0.628,0.707,,,,,,,,,,5.8,,2016-03-12 13:24:23.377,,126
341471,343228,Accelerometer,,,,-0.065,0.815,0.829,,,,,,,,,,5.84,,2016-03-12 13:24:23.378,,126
341472,343229,Accelerometer,,,,-0.083,0.707,0.782,,,,,,,,,,5.88,,2016-03-12 13:24:23.378,,126
341473,343230,Accelerometer,,,,-0.022,0.708,0.666,,,,,,,,,,5.92,,2016-03-12 13:24:23.378,,126
341474,343231,Accelerometer,,,,-0.002,0.803,0.584,,,,,,,,,,5.96,,2016-03-12 13:24:23.379,,126
341475,343232,Accelerometer,,,,0.007,0.726,0.646,,,,,,,,,,6.0,,2016-03-12 13:24:23.379,,126
341476,343233,Accelerometer,,,,-0.048,0.697,0.743,,,,,,,,,,6.04,,2016-03-12 13:24:23.379,,126
341477,343234,Accelerometer,,,,-0.077,0.625,0.554,,,,,,,,,,6.08,,2016-03-12 13:24:23.380,,126
341478,343235,Accelerometer,,,,-0.132,0.891,0.504,,,,,,,,,,6.12,,2016-03-12 13:24:23.382,,126
341479,343236,Accelerometer,,,,-0.081,0.983,0.512,,,,,,,,,,6.16,,2016-03-12 13:24:23.382,,126
341480,343237,Accelerometer,,,,0.105,0.949,0.415,,,,,,,,,,6.2,,2016-03-12 13:24:23.383,,126
341481,343238,Accelerometer,,,,0.04,0.831,0.426,,,,,,,,,,6.24,,2016-03-12 13:24:23.383,,126
341482,343239,Accelerometer,,,,0.053,0.805,0.534,,,,,,,,,,6.28,,2016-03-12 13:24:23.383,,126
341483,343240,Accelerometer,,,,0.249,0.848,0.529,,,,,,,,,,6.32,,2016-03-12 13:24:23.383,,126
341484,343241,Accelerometer,,,,0.191,0.921,0.511,,,,,,,,,,6.36,,2016-03-12 13:24:23.384,,126
341485,343242,Accelerometer,,,,0.047,0.91,0.458,,,,,,,,,,6.4,,2016-03-12 13:24:23.384,,126
341486,343243,Accelerometer,,,,0.038,1.011,0.604,,,,,,,,,,6.44,,2016-03-12 13:24:23.384,,126
341487,343244,Accelerometer,,,,0.015,0.896,0.511,,,,,,,,,,6.48,,2016-03-12 13:24:23.385,,126
341488,343245,Accelerometer,,,,-0.141,0.822,0.494,,,,,,,,,,6.52,,2016-03-12 13:24:23.385,,126
341489,343246,Accelerometer,,,,-0.139,0.953,0.694,,,,,,,,,,6.56,,2016-03-12 13:24:23.386,,126
341490,343247,Accelerometer,,,,0.093,1.042,0.613,,,,,,,,,,6.6,,2016-03-12 13:24:23.386,,126
341491,343248,Accelerometer,,,,0.255,0.411,0.704,,,,,,,,,,6.64,,2016-03-12 13:24:23.386,,126
341492,343249,Accelerometer,,,,0.104,0.234,1.0,,,,,,,,,,6.68,,2016-03-12 13:24:23.387,,126
341493,343250,Accelerometer,,,,0.119,0.055,0.915,,,,,,,,,,6.72,,2016-03-12 13:24:23.387,,126
341494,343251,Accelerometer,,,,0.248,0.108,0.96,,,,,,,,,,6.76,,2016-03-12 13:24:23.387,,126
341495,343252,Accelerometer,,,,0.208,0.185,0.954,,,,,,,,,,6.8,,2016-03-12 13:24:23.387,,126
341496,343253,Accelerometer,,,,0.139,0.372,0.924,,,,,,,,,,6.84,,2016-03-12 13:24:23.388,,126
341497,343254,Accelerometer,,,,0.126,0.255,0.953,,,,,,,,,,6.88,,2016-03-12 13:24:23.388,,126
341498,343255,Accelerometer,,,,0.105,0.158,1.013,,,,,,,,,,6.92,,2016-03-12 13:24:23.388,,126
341499,343256,Accelerometer,,,,0.062,0.191,1.03,,,,,,,,,,6.96,,2016-03-12 13:24:23.389,,126
341500,343257,Accelerometer,,,,0.103,0.121,0.94,,,,,,,,,,7.0,,2016-03-12 13:24:23.389,,126
341501,343258,Accelerometer,,,,0.196,-0.039,0.931,,,,,,,,,,7.04,,2016-03-12 13:24:23.390,,126
341502,343259,Accelerometer,,,,0.175,0.231,1.106,,,,,,,,,,7.08,,2016-03-12 13:24:23.390,,126
341503,343260,Accelerometer,,,,-0.124,0.395,1.001,,,,,,,,,,7.12,,2016-03-12 13:24:23.390,,126
341504,343261,Accelerometer,,,,-0.207,0.286,0.93,,,,,,,,,,7.16,,2016-03-12 13:24:23.391,,126
341505,343262,Accelerometer,,,,-0.041,0.246,1.0,,,,,,,,,,7.2,,2016-03-12 13:24:23.391,,126
341506,343263,Accelerometer,,,,-0.127,0.362,1.027,,,,,,,,,,7.24,,2016-03-12 13:24:23.391,,126
341507,343264,Accelerometer,,,,-0.084,0.341,0.944,,,,,,,,,,7.28,,2016-03-12 13:24:23.392,,126
341508,343265,Accelerometer,,,,-0.144,0.318,1.001,,,,,,,,,,7.32,,2016-03-12 13:24:23.392,,126
341509,343266,Accelerometer,,,,-0.117,0.397,1.001,,,,,,,,,,7.36,,2016-03-12 13:24:23.392,,126
341510,343267,Accelerometer,,,,0.032,0.539,0.72,,,,,,,,,,7.4,,2016-03-12 13:24:23.393,,126
341511,343268,Accelerometer,,,,0.288,0.678,0.78,,,,,,,,,,7.44,,2016-03-12 13:24:23.393,,126
341512,343269,Accelerometer,,,,-0.046,0.248,0.911,,,,,,,,,,7.48,,2016-03-12 13:24:23.393,,126
341513,343270,Accelerometer,,,,-0.085,0.811,0.777,,,,,,,,,,7.52,,2016-03-12 13:24:23.394,,126
341514,343271,Accelerometer,,,,-0.245,1.411,0.601,,,,,,,,,,7.56,,2016-03-12 13:24:23.394,,126
341515,343272,Accelerometer,,,,0.157,0.999,0.527,,,,,,,,,,7.6,,2016-03-12 13:24:23.395,,126
341516,343273,Accelerometer,,,,0.115,0.288,0.407,,,,,,,,,,7.64,,2016-03-12 13:24:23.395,,126
341517,343274,Accelerometer,,,,0.289,1.131,0.516,,,,,,,,,,7.68,,2016-03-12 13:24:23.395,,126
341518,343275,Accelerometer,,,,0.235,0.574,0.485,,,,,,,,,,7.72,,2016-03-12 13:24:23.396,,126
341519,343276,Accelerometer,,,,-0.015,0.829,0.512,,,,,,,,,,7.76,,2016-03-12 13:24:23.396,,126
341520,343277,Accelerometer,,,,0.12,1.104,0.276,,,,,,,,,,7.8,,2016-03-12 13:24:23.396,,126
341521,343278,Accelerometer,,,,0.198,1.063,0.27,,,,,,,,,,7.84,,2016-03-12 13:24:23.397,,126
341522,343279,Accelerometer,,,,0.148,1.033,0.14,,,,,,,,,,7.88,,2016-03-12 13:24:23.397,,126
341523,343280,Accelerometer,,,,0.167,1.104,0.156,,,,,,,,,,7.92,,2016-03-12 13:24:23.397,,126
341524,343281,Accelerometer,,,,0.226,1.11,0.32,,,,,,,,,,7.96,,2016-03-12 13:24:23.398,,126
341525,343282,Accelerometer,,,,0.144,0.862,0.629,,,,,,,,,,8.0,,2016-03-12 13:24:23.398,,126
341526,343283,Accelerometer,,,,0.352,0.429,0.449,,,,,,,,,,8.04,,2016-03-12 13:24:23.398,,126
341527,343284,Accelerometer,,,,0.07,1.381,0.578,,,,,,,,,,8.08,,2016-03-12 13:24:23.399,,126
341528,343285,Accelerometer,,,,-0.549,0.815,0.582,,,,,,,,,,8.12,,2016-03-12 13:24:23.399,,126
341529,343286,Accelerometer,,,,-0.354,0.709,1.005,,,,,,,,,,8.16,,2016-03-12 13:24:23.399,,126
341530,343287,Accelerometer,,,,-0.362,1.446,0.956,,,,,,,,,,8.2,,2016-03-12 13:24:23.400,,126
341531,343288,Accelerometer,,,,-0.457,0.704,0.729,,,,,,,,,,8.24,,2016-03-12 13:24:23.400,,126
341532,343289,Accelerometer,,,,-0.638,0.599,0.394,,,,,,,,,,8.28,,2016-03-12 13:24:23.400,,126
341533,343290,Accelerometer,,,,-0.442,0.647,-0.076,,,,,,,,,,8.32,,2016-03-12 13:24:23.401,,126
341534,343291,Accelerometer,,,,0.0,0.567,-0.055,,,,,,,,,,8.36,,2016-03-12 13:24:23.401,,126
341535,343292,Accelerometer,,,,-0.083,0.936,0.159,,,,,,,,,,8.4,,2016-03-12 13:24:23.401,,126
341536,343293,Accelerometer,,,,-0.393,0.691,-0.009,,,,,,,,,,8.44,,2016-03-12 13:24:23.402,,126
341537,343294,Accelerometer,,,,-0.184,1.189,-0.559,,,,,,,,,,8.48,,2016-03-12 13:24:23.402,,126
341538,343295,Accelerometer,,,,-0.328,1.02,-0.385,,,,,,,,,,8.52,,2016-03-12 13:24:23.403,,126
341539,343296,Accelerometer,,,,-0.699,0.961,-0.033,,,,,,,,,,8.56,,2016-03-12 13:24:23.403,,126
341540,343297,Accelerometer,,,,-0.147,1.02,-0.335,,,,,,,,,,8.6,,2016-03-12 13:24:23.403,,126
341541,343298,Accelerometer,,,,-0.122,0.882,-0.379,,,,,,,,,,8.64,,2016-03-12 13:24:23.404,,126
341542,343299,Accelerometer,,,,-0.183,0.608,-0.283,,,,,,,,,,8.68,,2016-03-12 13:24:23.404,,126
341543,343300,Accelerometer,,,,0.113,1.135,-0.049,,,,,,,,,,8.72,,2016-03-12 13:24:23.404,,126
341544,343301,Accelerometer,,,,0.076,1.054,-0.108,,,,,,,,,,8.76,,2016-03-12 13:24:23.405,,126
341545,343302,Accelerometer,,,,-0.065,0.888,-0.206,,,,,,,,,,8.8,,2016-03-12 13:24:23.405,,126
341546,343303,Accelerometer,,,,-0.122,0.924,-0.179,,,,,,,,,,8.84,,2016-03-12 13:24:23.405,,126
341547,343304,Accelerometer,,,,-0.151,1.0,-0.133,,,,,,,,,,8.88,,2016-03-12 13:24:23.406,,126
341548,343305,Accelerometer,,,,-0.177,0.986,-0.159,,,,,,,,,,8.92,,2016-03-12 13:24:23.406,,126
341549,343306,Accelerometer,,,,-0.189,1.045,-0.249,,,,,,,,,,8.96,,2016-03-12 13:24:23.406,,126
341550,343307,Accelerometer,,,,-0.162,0.964,-0.268,,,,,,,,,,9.0,,2016-03-12 13:24:23.407,,126
341551,343308,Accelerometer,,,,-0.251,0.969,-0.366,,,,,,,,,,9.04,,2016-03-12 13:24:23.407,,126
